# 1D z+ on top wall (simple), 2nd-order FD pipeline
# generated by 12.phase3_compute_zplus_spanavg_2nd.py
# source tau   : 26.Re10595_j257_toptauwall_spanavg_2nd.dat
# Re           = 10595
# z_plus(j) = Re * u_tau_local(j) * d_n(j)
TITLE     = "1D z+ on top wall (simple)"
VARIABLES = "j" "y" "z" "tau_local" "u_tau_local" "d_n" "z_plus"
ZONE T="top_zplus_1d_simple", I=257, F=POINT
DT=(SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE)
  42 1.598681009000000e+00 3.035713191000000e+00 3.309131009834670e-03 5.752504680428057e-02 1.154282099999993e-02 7.035093967159948e+00
  43 1.627728265000000e+00 3.035713191000000e+00 3.287777544125182e-03 5.733914495460481e-02 1.163962400000029e-02 7.071167499744240e+00
  44 1.656200912000000e+00 3.035713191000000e+00 3.266783653980552e-03 5.715578408158314e-02 1.173664800000029e-02 7.107309494058702e+00
  45 1.684169739000000e+00 3.035713191000000e+00 3.246157173854183e-03 5.697505747126705e-02 1.183343400000014e-02 7.143261118752846e+00
  46 1.711604906000000e+00 3.035713191000000e+00 3.225916947327181e-03 5.679715615527930e-02 1.192968000000016e-02 7.178874257641517e+00
  47 1.738461998000000e+00 3.035713191000000e+00 3.206147924187207e-03 5.662285690591042e-02 1.202507400000030e-02 7.214072400259084e+00
  48 1.764472518000000e+00 3.035713191000000e+00 3.186960447775964e-03 5.645317039614307e-02 1.211922000000021e-02 7.248764110361939e+00
  49 1.789859647000000e+00 3.035713191000000e+00 3.168298095834766e-03 5.628763714915351e-02 1.221171500000029e-02 7.282670135707805e+00
  50 1.814617539000000e+00 3.035713191000000e+00 3.150146458269201e-03 5.612616554040727e-02 1.230219500000018e-02 7.315582975486635e+00
  51 1.838741817000000e+00 3.035713191000000e+00 3.132566527281175e-03 5.596933559799665e-02 1.239027500000001e-02 7.347372494742431e+00
