# 1D z+ on top wall (simple), 2nd-order FD pipeline
# generated by 12.phase3_compute_zplus_spanavg_2nd.py
# source tau   : 26.Re10595_j257_toptauwall_spanavg_2nd.dat
# Re           = 10595
# z_plus(j) = Re * u_tau_local(j) * d_n(j)
TITLE     = "1D z+ on top wall (simple)"
VARIABLES = "j" "y" "z" "tau_local" "u_tau_local" "d_n" "z_plus"
ZONE T="top_zplus_1d_simple", I=257, F=POINT
DT=(SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE)
 180 6.617872884000000e+00 3.035713191000000e+00 2.444458259108220e-03 4.944146295477329e-02 1.323467300000036e-02 6.932749197415156e+00
 181 6.645222581000000e+00 3.035713191000000e+00 2.453118245569555e-03 4.952896370377190e-02 1.323467300000036e-02 6.945018671478824e+00
 182 6.671970296000000e+00 3.035713191000000e+00 2.461716720187048e-03 4.961569026212422e-02 1.323467200000028e-02 6.957179061798549e+00
 183 6.698095108000000e+00 3.035713191000000e+00 2.470237983796847e-03 4.970148874829453e-02 1.323467400000000e-02 6.969210894517978e+00
 184 6.723401638000000e+00 3.035713191000000e+00 2.478617521531245e-03 4.978571603915369e-02 1.323467500000008e-02 6.981021888200098e+00
 185 6.747822768000000e+00 3.035713191000000e+00 2.486830313092608e-03 4.986812923193137e-02 1.323466299999998e-02 6.992571639721505e+00
 186 6.771405245000000e+00 3.035713191000000e+00 2.494843902801951e-03 4.994841241523049e-02 1.323470300000018e-02 7.003850216535045e+00
 187 6.794075129000000e+00 3.035713191000000e+00 2.502676133322396e-03 5.002675417536497e-02 1.323461500000001e-02 7.014788786676286e+00
 188 6.815627382000000e+00 3.035713191000000e+00 2.510286961586446e-03 5.010276401144399e-02 1.323256200000023e-02 7.024357130564049e+00
 189 6.836100089000000e+00 3.035713191000000e+00 2.517814108755755e-03 5.017782487071112e-02 1.322463200000001e-02 7.030664729499011e+00
 190 6.856054749000000e+00 3.035713191000000e+00 2.525407556891646e-03 5.025343328461893e-02 1.321063899999997e-02 7.033808235888875e+00
 191 6.875624963000000e+00 3.035713191000000e+00 2.533171376732231e-03 5.033062066706739e-02 1.319099900000031e-02 7.034138813185576e+00
 192 6.894929702000000e+00 3.035713191000000e+00 2.541098151679404e-03 5.040930620113120e-02 1.316573000000032e-02 7.031639961698555e+00
 193 6.914062088000000e+00 3.035713191000000e+00 2.549273460334065e-03 5.049033036467543e-02 1.313500899999998e-02 7.026508049062864e+00
 194 6.933188817000000e+00 3.035713191000000e+00 2.557726900199257e-03 5.057397453433195e-02 1.309896700000035e-02 7.018835994813747e+00
 195 6.952360767000000e+00 3.035713191000000e+00 2.566519949793885e-03 5.066083250198209e-02 1.305774900000012e-02 7.008766628209750e+00
 196 6.971628345000000e+00 3.035713191000000e+00 2.575671443571474e-03 5.075107332432955e-02 1.301151300000036e-02 6.996389712177330e+00
 197 6.991124181000000e+00 3.035713191000000e+00 2.585260286822591e-03 5.084545492787523e-02 1.296032800000013e-02 6.981827126783680e+00
 198 7.010898081000000e+00 3.035713191000000e+00 2.595312311799544e-03 5.094420783366391e-02 1.290434300000021e-02 6.965169228879560e+00
 199 7.030970695000000e+00 3.035713191000000e+00 2.605870829625111e-03 5.104773089594788e-02 1.284372500000019e-02 6.946537770429114e+00
 200 7.051383723000000e+00 3.035713191000000e+00 2.616969169475253e-03 5.115632091418667e-02 1.277861900000010e-02 6.926027089011740e+00
 201 7.072277122000000e+00 3.035713191000000e+00 2.628697005811125e-03 5.127082021785027e-02 1.270906799999993e-02 6.903747988280142e+00
 202 7.093753761000000e+00 3.035713191000000e+00 2.641114060801175e-03 5.139177036064408e-02 1.263514800000021e-02 6.879785106458434e+00
 203 7.115770803000000e+00 3.035713191000000e+00 2.654244241421750e-03 5.151935792905177e-02 1.255713699999994e-02 6.854283059893310e+00
 204 7.138363298000000e+00 3.035713191000000e+00 2.668117013501102e-03 5.165381896337484e-02 1.247537300000001e-02 6.827424976199084e+00
 205 7.161616668000000e+00 3.035713191000000e+00 2.682806096461843e-03 5.179581157257643e-02 1.239026399999998e-02 6.799487243574458e+00
 206 7.185721880000000e+00 3.035713191000000e+00 2.698391225557165e-03 5.194604148110966e-02 1.230218300000008e-02 6.770731660775653e+00
 207 7.210460585000000e+00 3.035713191000000e+00 2.714820508737851e-03 5.210393947426481e-02 1.221170200000010e-02 6.741363099079668e+00
 208 7.235828630000000e+00 3.035713191000000e+00 2.732075759507606e-03 5.226926209071260e-02 1.211920700000002e-02 6.711529964319686e+00
 209 7.261820138000000e+00 3.035713191000000e+00 2.750206902033974e-03 5.244241510489361e-02 1.202506000000003e-02 6.681452678780382e+00
 210 7.288655024000000e+00 3.035713191000000e+00 2.769273405580731e-03 5.262388626451614e-02 1.192966699999998e-02 6.651386730247525e+00
 211 7.316070239000000e+00 3.035713191000000e+00 2.789199845777691e-03 5.281287575750530e-02 1.183342000000032e-02 6.621418781910556e+00
 212 7.344018936000000e+00 3.035713191000000e+00 2.809928757707321e-03 5.300876114103518e-02 1.173663400000002e-02 6.591620217899458e+00
 213 7.372470157000000e+00 3.035713191000000e+00 2.831467025235452e-03 5.321153094241371e-02 1.163960800000030e-02 6.562133622439323e+00
 214 7.401498368000000e+00 3.035713191000000e+00 2.853811402423327e-03 5.342107638772666e-02 1.154280600000002e-02 6.533185537574658e+00
 215 7.430950757000000e+00 3.035713191000000e+00 2.876894972973817e-03 5.363669427708812e-02 1.144644800000005e-02 6.504796350346977e+00
 216 7.460737028000000e+00 3.035713191000000e+00 2.900648497289086e-03 5.385766888094105e-02 1.135046700000020e-02 6.476826200831975e+00
 217 7.490838096000000e+00 3.035713191000000e+00 2.925082243895070e-03 5.408402947169404e-02 1.125479700000032e-02 6.449227066183849e+00
 218 7.521296059000000e+00 3.035713191000000e+00 2.950203156635210e-03 5.431577263222176e-02 1.115943500000016e-02 6.421982675468283e+00
 219 7.552133391000000e+00 3.035713191000000e+00 2.976031110126641e-03 5.455301192534323e-02 1.106430400000002e-02 6.395047789870528e+00
 220 7.583284665000000e+00 3.035713191000000e+00 3.002541620751386e-03 5.479545255540268e-02 1.096920300000015e-02 6.368256578892357e+00
 221 7.614760760000000e+00 3.035713191000000e+00 3.029741407614729e-03 5.504308682854486e-02 1.087407200000001e-02 6.341557673877622e+00
 222 7.646594284000000e+00 3.035713191000000e+00 3.057661576142154e-03 5.529612623088668e-02 1.077886699999997e-02 6.314933508782844e+00
 223 7.678952294000000e+00 3.035713191000000e+00 3.086380220294106e-03 5.555519975928542e-02 1.068359500000016e-02 6.288442450074641e+00
 224 7.711730964000000e+00 3.035713191000000e+00 3.115856306900031e-03 5.581985584807642e-02 1.058808100000030e-02 6.261911518578763e+00
 225 7.744968912000000e+00 3.035713191000000e+00 3.146078209799575e-03 5.608991183626139e-02 1.049225400000031e-02 6.235259231321872e+00
 226 7.778707300000000e+00 3.035713191000000e+00 3.177113143044299e-03 5.636588634133503e-02 1.039605000000021e-02 6.208485357744295e+00
 227 7.813250390000000e+00 3.035713191000000e+00 3.209102228633590e-03 5.664893845990047e-02 1.029950599999996e-02 6.181717184142750e+00
 228 7.848543063000000e+00 3.035713191000000e+00 3.242045623893831e-03 5.693896402195803e-02 1.020257100000022e-02 6.154887905749635e+00
 229 7.884578600000000e+00 3.035713191000000e+00 3.275880674550061e-03 5.723530968335946e-02 1.010561500000007e-02 6.128126853077219e+00
 230 7.921378318000000e+00 3.035713191000000e+00 3.310597973231376e-03 5.753779604078849e-02 1.000912099999995e-02 6.101689770229818e+00
 231 7.959142733000000e+00 3.035713191000000e+00 3.346191128984711e-03 5.784627152189422e-02 9.913838000000119e-03 6.076005393760183e+00
 232 7.997759975000000e+00 3.035713191000000e+00 3.382497364156454e-03 5.815924143381217e-02 9.820332999999959e-03 6.051261334229227e+00
 233 8.037064286000000e+00 3.035713191000000e+00 3.419301751879659e-03 5.847479586864463e-02 9.728908000000036e-03 6.027452159296530e+00
 234 8.077025910000000e+00 3.035713191000000e+00 3.456438909839942e-03 5.879148671227784e-02 9.639986000000267e-03 6.004706808006810e+00
 235 8.117697101999999e+00 3.035713191000000e+00 3.493793084204236e-03 5.910831654009642e-02 9.554229000000358e-03 5.983360883542912e+00
 236 8.159116876000001e+00 3.035713191000000e+00 3.531159176827430e-03 5.942355742319228e-02 9.472367999999953e-03 5.963732711066119e+00
 237 8.201219035999999e+00 3.035713191000000e+00 3.568454814613195e-03 5.973654505085806e-02 9.393975000000054e-03 5.945528456363888e+00
 238 8.243992509000000e+00 3.035713191000000e+00 3.605423281277739e-03 6.004517700263477e-02 9.319478000000103e-03 5.928852935940558e+00
 239 8.287414421999999e+00 3.035713191000000e+00 3.641873876726568e-03 6.034794011999555e-02 9.249485000000224e-03 5.913995152525988e+00
 240 8.331524443999999e+00 3.035713191000000e+00 3.677459936287111e-03 6.064206408333337e-02 9.185117000000353e-03 5.901462187236889e+00
 241 8.375952846000001e+00 3.035713191000000e+00 3.711864452376789e-03 6.092507244457564e-02 9.126372999999965e-03 5.891084198839994e+00
 242 8.420549769000001e+00 3.035713191000000e+00 3.744692294354188e-03 6.119389098884127e-02 9.073839000000028e-03 5.883016937359678e+00
 243 8.465155920000001e+00 3.035713191000000e+00 3.775692335817843e-03 6.144666252790174e-02 9.028161000000257e-03 5.877580087663471e+00
 244 8.509346286000000e+00 3.035713191000000e+00 3.804423049199487e-03 6.168000526264154e-02 8.989989000000254e-03 5.874954716765559e+00
 245 8.552906855000000e+00 3.035713191000000e+00 3.830825689810173e-03 6.189366437536376e-02 8.958537000000266e-03 5.874680449734462e+00
 246 8.595785513999999e+00 3.035713191000000e+00 3.854847828282819e-03 6.208742085384784e-02 8.933191000000118e-03 5.876397971413096e+00
 247 8.637909216000001e+00 3.035713191000000e+00 3.876568133360657e-03 6.226209226616672e-02 8.913345999999933e-03 5.879839035298736e+00
 248 8.679020455000000e+00 3.035713191000000e+00 3.895917445239088e-03 6.241728482751463e-02 8.898376999999957e-03 5.884595773484429e+00
 249 8.719095269000000e+00 3.035713191000000e+00 3.913090262702200e-03 6.255469816650225e-02 8.887633000000061e-03 5.890430101135628e+00
 250 8.758314929000001e+00 3.035713191000000e+00 3.928173643011823e-03 6.267514374145322e-02 8.880270000000134e-03 5.896882445363421e+00
 251 8.796654422000000e+00 3.035713191000000e+00 3.941382162613555e-03 6.278042818118999e-02 8.876165000000213e-03 5.904057809456665e+00
 252 8.833948637000001e+00 3.035713191000000e+00 3.952626290057866e-03 6.286991561993595e-02 8.875038000000224e-03 5.911722771496716e+00
 253 8.870067516000001e+00 3.035713191000000e+00 3.962357121033177e-03 6.294725666010535e-02 8.874982000000031e-03 5.918957881113822e+00
 254 8.910645569000000e+00 3.035713191000000e+00 3.971815397780624e-03 6.302234046574773e-02 8.875033000000254e-03 5.926052097773228e+00
 255 8.954680578000000e+00 3.035713191000000e+00 3.980636091404494e-03 6.309228234423363e-02 8.875005000000158e-03 5.932610083818516e+00
 256 9.000000000000000e+00 3.035713191000000e+00 3.988179081442582e-03 6.315203149101842e-02 8.875016000000180e-03 5.938235696652643e+00
