# 1D z+ on bottom wall (n-projection), 2nd-order FD pipeline
# generated by 12.phase3_compute_zplus_spanavg_2nd.py
# source tau   : 25.Re10595_j257_bottomtauwall_spanavg_2nd.dat
# Re           = 10595
# z_plus(j) = Re * u_tau_local(j) * d_n(j)
TITLE     = "1D z+ on bottom wall (n-projection)"
VARIABLES = "j" "y" "z" "tau_local" "u_tau_local" "dy_step" "dz_step" "n_y" "n_z" "d_n_proj" "z_plus_proj"
ZONE T="bottom_zplus_1d_n-projection", I=257, F=POINT
DT=(SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE)
 103 3.279482452000000e+00 0.000000000000000e+00 1.459569158852582e-04 1.208126300869483e-02 2.429000000248038e-06 1.323467306000000e-02 -8.102819740568648e-16 1.000000000000000e+00 1.323467306000000e-02 1.694051142532290e+00
 104 3.324246497000000e+00 6.195438687000000e-17 1.338089009001548e-04 1.156757973390090e-02 -6.645999999665975e-06 1.323467305999994e-02 -2.298915276509759e-16 1.000000000000000e+00 1.323467305999994e-02 1.622021774581422e+00
 105 3.369303667000000e+00 0.000000000000000e+00 1.264950243219469e-04 1.124700068115704e-02 -8.432000000002660e-06 1.323467306000000e-02 2.056014763061798e-15 1.000000000000000e+00 1.323467306000000e-02 1.577069743474930e+00
 106 3.414655010000000e+00 -6.195438687000000e-17 1.240828002761479e-04 1.113924594737669e-02 -1.832000000145939e-06 1.323467306000006e-02 -2.268929149918632e-16 1.000000000000000e+00 1.323467306000006e-02 1.561960228042445e+00
 107 3.460343787000000e+00 0.000000000000000e+00 1.175939737928048e-04 1.084407551581991e-02 4.722000000345616e-06 1.323467306000000e-02 -7.875875502705894e-16 1.000000000000000e+00 1.323467306000000e-02 1.520571028381720e+00
 108 3.506420393000000e+00 0.000000000000000e+00 1.098339608655849e-04 1.048016988724825e-02 -8.816999999883279e-06 1.323467306000000e-02 -7.816291503628663e-16 1.000000000000000e+00 1.323467306000000e-02 1.469543685842114e+00
 109 3.552798373000000e+00 6.195438687000000e-17 1.014980990780943e-04 1.007462649819309e-02 -1.101199999986591e-05 1.323467305999994e-02 -2.219218757166564e-16 1.000000000000000e+00 1.323467305999994e-02 1.412677839855568e+00
 110 3.599478832000000e+00 0.000000000000000e+00 9.494595305538599e-05 9.744021400601805e-03 -5.428000000140543e-06 1.323467306000000e-02 1.984802494351746e-15 1.000000000000000e+00 1.323467306000000e-02 1.366319943094414e+00
 111 3.646471868000000e+00 -6.195438687000000e-17 8.904918317181541e-05 9.436587474919914e-03 1.064700000030783e-05 1.323467306000006e-02 -1.968455379256532e-16 1.000000000000000e+00 1.323467306000006e-02 1.323211139595997e+00
 112 3.693898569000000e+00 0.000000000000000e+00 8.374166318493313e-05 9.151047108661015e-03 -9.364999999927903e-06 1.323467306000000e-02 -9.545680916155433e-16 1.000000000000000e+00 1.323467306000000e-02 1.283172280798541e+00
 113 3.741634640000000e+00 0.000000000000000e+00 1.030683868132513e-04 1.015226018250376e-02 -1.443500000020137e-05 1.323467306000000e-02 1.940462867631350e-16 1.000000000000000e+00 1.323467306000000e-02 1.423563740734550e+00
 114 3.789683072000000e+00 0.000000000000000e+00 1.707292700642830e-04 1.306634111234982e-02 -1.040999999979419e-05 1.323467306000000e-02 -2.142555732770599e-17 1.000000000000000e+00 1.323467306000000e-02 1.832180134987735e+00
 115 3.838046283000000e+00 0.000000000000000e+00 2.789817884771856e-04 1.670274793191784e-02 4.879000000013178e-06 1.323467306000000e-02 -0.000000000000000e+00 1.000000000000000e+00 1.323467306000000e-02 2.342082048634339e+00
 116 3.886832929000000e+00 0.000000000000000e+00 3.145640474477793e-04 1.773595352519225e-02 -8.634999999923565e-06 1.323467306000000e-02 -0.000000000000000e+00 1.000000000000000e+00 1.323467306000000e-02 2.486959543189136e+00
 117 3.935968622000000e+00 0.000000000000000e+00 2.856506829061159e-04 1.690120359341653e-02 -1.660399999980910e-05 1.323467306000000e-02 -0.000000000000000e+00 1.000000000000000e+00 1.323467306000000e-02 2.369909771601872e+00
 118 3.985426164000000e+00 0.000000000000000e+00 2.450183781672147e-04 1.565306290050656e-02 -1.485000000034375e-05 1.323467306000000e-02 -0.000000000000000e+00 1.000000000000000e+00 1.323467306000000e-02 2.194893784834309e+00
 119 4.035206560000000e+00 0.000000000000000e+00 2.193905174613554e-04 1.481183707246861e-02 -2.720999999539231e-06 1.323467306000000e-02 -0.000000000000000e+00 1.000000000000000e+00 1.323467306000000e-02 2.076935954259000e+00
 120 4.085387716000000e+00 0.000000000000000e+00 1.974301120054117e-04 1.405098259928507e-02 -3.634999999668764e-06 1.323467306000000e-02 -0.000000000000000e+00 1.000000000000000e+00 1.323467306000000e-02 1.970247904452474e+00
 121 4.135962473000000e+00 0.000000000000000e+00 1.720930021029708e-04 1.311842224137380e-02 -1.701100000062183e-05 1.323467306000000e-02 -0.000000000000000e+00 1.000000000000000e+00 1.323467306000000e-02 1.839483021785577e+00
 122 4.186867961000000e+00 0.000000000000000e+00 1.446492293233864e-04 1.202702079998976e-02 -1.922199999970786e-05 1.323467306000000e-02 -0.000000000000000e+00 1.000000000000000e+00 1.323467306000000e-02 1.686445226200184e+00
 123 4.238106103000000e+00 0.000000000000000e+00 1.212412066440379e-04 1.101095847980719e-02 -1.058299999989742e-05 1.323467306000000e-02 -0.000000000000000e+00 1.000000000000000e+00 1.323467306000000e-02 1.543971584731530e+00
 124 4.289717416000000e+00 0.000000000000000e+00 1.004103187367858e-04 1.002049493472183e-02 -1.847000000054777e-06 1.323467306000000e-02 -0.000000000000000e+00 1.000000000000000e+00 1.323467306000000e-02 1.405087438348750e+00
 125 4.341775707000000e+00 0.000000000000000e+00 7.778540575759540e-05 8.819603492084856e-03 -1.690700000001044e-05 1.323467306000000e-02 -0.000000000000000e+00 1.000000000000000e+00 1.323467306000000e-02 1.236696805764037e+00
 126 4.394175077000000e+00 0.000000000000000e+00 4.962996800738036e-05 7.044854008947265e-03 -2.044299999948151e-05 1.323467306000000e-02 -0.000000000000000e+00 1.000000000000000e+00 1.323467306000000e-02 9.878390176789629e-01
 127 4.446916846000000e+00 0.000000000000000e+00 1.884266010654393e-05 4.340813300125211e-03 -8.924999999493366e-06 1.323467306000000e-02 -0.000000000000000e+00 1.000000000000000e+00 1.323467306000000e-02 6.086747490973541e-01
 128 4.500002127000000e+00 0.000000000000000e+00 9.918077763593310e-06 3.149297979485795e-03 -1.399699999993231e-05 1.323467306000000e-02 -0.000000000000000e+00 1.000000000000000e+00 1.323467306000000e-02 4.415988491007036e-01
 129 4.553084350000000e+00 0.000000000000000e+00 3.381906440446407e-05 5.815416098996191e-03 -1.646099999952355e-05 1.323467306000000e-02 -0.000000000000000e+00 1.000000000000000e+00 1.323467306000000e-02 8.154455605937065e-01
 130 4.605825048000000e+00 0.000000000000000e+00 5.595077720289140e-05 7.480025214054523e-03 -3.446000000018046e-06 1.323467306000000e-02 -0.000000000000000e+00 1.000000000000000e+00 1.323467306000000e-02 1.048859316357879e+00
 131 4.658224372000000e+00 0.000000000000000e+00 8.054936870188176e-05 8.974930010974000e-03 -7.161000000088791e-06 1.323467306000000e-02 -0.000000000000000e+00 1.000000000000000e+00 1.323467306000000e-02 1.258476901653047e+00
 132 4.710282849000000e+00 0.000000000000000e+00 1.097410302491635e-04 1.047573530828092e-02 -2.266100000003490e-05 1.323467306000000e-02 -0.000000000000000e+00 1.000000000000000e+00 1.323467306000000e-02 1.468921863143539e+00
 133 4.761894162000000e+00 0.000000000000000e+00 1.408460923808472e-04 1.186785963772942e-02 -1.381499999997260e-05 1.323467306000000e-02 -0.000000000000000e+00 1.000000000000000e+00 1.323467306000000e-02 1.664127431398444e+00
 134 4.813132303000000e+00 0.000000000000000e+00 1.701105796254057e-04 1.304264465610429e-02 -5.224999999775548e-06 1.323467306000000e-02 -0.000000000000000e+00 1.000000000000000e+00 1.323467306000000e-02 1.828857385640435e+00
 135 4.864039035000000e+00 0.000000000000000e+00 1.944020990375324e-04 1.394281531963801e-02 -7.375000000031662e-06 1.323467306000000e-02 -0.000000000000000e+00 1.000000000000000e+00 1.323467306000000e-02 1.955080541277049e+00
 136 4.914615609000000e+00 0.000000000000000e+00 2.151411205492769e-04 1.466768968001699e-02 -2.107900000059004e-05 1.323467306000000e-02 -0.000000000000000e+00 1.000000000000000e+00 1.323467306000000e-02 2.056723410694642e+00
 137 4.964794319000000e+00 0.000000000000000e+00 2.353299560529241e-04 1.534046792157671e-02 -2.188599999985996e-05 1.323467306000000e-02 -0.000000000000000e+00 1.000000000000000e+00 1.323467306000000e-02 2.151061291424899e+00
 138 5.014574189000000e+00 0.000000000000000e+00 2.585577960488314e-04 1.607973246197932e-02 -9.499999999995623e-06 1.323467306000000e-02 -0.000000000000000e+00 1.000000000000000e+00 1.323467306000000e-02 2.254721971471457e+00
 139 5.064031643000000e+00 0.000000000000000e+00 2.838086679882955e-04 1.684662185686779e-02 -7.617999999709468e-06 1.323467306000000e-02 -0.000000000000000e+00 1.000000000000000e+00 1.323467306000000e-02 2.362256246213405e+00
 140 5.113167389000000e+00 0.000000000000000e+00 3.077917786005881e-04 1.754399551415207e-02 -1.612899999958728e-05 1.323467306000000e-02 -0.000000000000000e+00 1.000000000000000e+00 1.323467306000000e-02 2.460042929612659e+00
 141 5.161954238000000e+00 0.000000000000000e+00 3.235907605199986e-04 1.798862864478553e-02 -2.981799999979273e-05 1.323467306000000e-02 -0.000000000000000e+00 1.000000000000000e+00 1.323467306000000e-02 2.522389992367209e+00
 142 5.210317267000000e+00 0.000000000000000e+00 3.304164128816146e-04 1.817735989855553e-02 -1.375699999961455e-05 1.323467306000000e-02 -0.000000000000000e+00 1.000000000000000e+00 1.323467306000000e-02 2.548854145647417e+00
 143 5.258365495000000e+00 0.000000000000000e+00 3.340268161953311e-04 1.827640052623413e-02 -1.004199999954380e-05 1.323467306000000e-02 -0.000000000000000e+00 1.000000000000000e+00 1.323467306000000e-02 2.562741757261807e+00
 144 5.306101563000000e+00 0.000000000000000e+00 3.461013849787067e-04 1.860380028324070e-02 -1.407500000016881e-05 1.323467306000000e-02 -0.000000000000000e+00 1.000000000000000e+00 1.323467306000000e-02 2.608650196803485e+00
 145 5.353528660000000e+00 0.000000000000000e+00 3.463641871711771e-04 1.861086207490607e-02 -3.197500000062803e-05 1.323467306000000e-02 -0.000000000000000e+00 1.000000000000000e+00 1.323467306000000e-02 2.609640410842401e+00
 146 5.400521489000000e+00 0.000000000000000e+00 2.902126068614708e-04 1.703562757462932e-02 -1.820299999977237e-05 1.323467306000000e-02 -0.000000000000000e+00 1.000000000000000e+00 1.323467306000000e-02 2.388758885208071e+00
 147 5.447202036000000e+00 0.000000000000000e+00 1.707364630414795e-04 1.306661635778289e-02 -1.370699999991842e-05 1.323467306000000e-02 4.438424484057486e-17 1.000000000000000e+00 1.323467306000000e-02 1.832218730276990e+00
 148 5.493580055000000e+00 0.000000000000000e+00 9.395042728594878e-05 9.692802860161180e-03 -1.541099999968765e-05 1.323467306000000e-02 -4.019815022833596e-16 1.000000000000000e+00 1.323467306000000e-02 1.359138009641775e+00
 149 5.539656455000000e+00 0.000000000000000e+00 6.470883564199579e-05 8.044180234305779e-03 -2.911400000016329e-05 1.323467306000000e-02 1.980230902146555e-15 1.000000000000000e+00 1.323467306000000e-02 1.127965901152379e+00
 150 5.585345028000000e+00 -1.239087737000000e-16 6.128915442405787e-05 7.828739005999489e-03 -2.251799999974935e-05 1.323467306000012e-02 4.084084332402341e-16 1.000000000000000e+00 1.323467306000012e-02 1.097756438888538e+00
 151 5.630696332000000e+00 0.000000000000000e+00 6.206387276415839e-05 7.878062754520200e-03 -1.549600000050333e-05 1.323467306000000e-02 -4.112025984379349e-15 1.000000000000000e+00 1.323467306000000e-02 1.104672682039210e+00
 152 5.675753601000000e+00 1.239087737000000e-16 6.316865725253549e-05 7.947871240309287e-03 -1.728900000053102e-05 1.323467305999988e-02 4.138032397985182e-16 1.000000000000000e+00 1.323467305999988e-02 1.114461322930830e+00
 153 5.720517810000000e+00 0.000000000000000e+00 6.332685001811706e-05 7.957816912829615e-03 -2.721099999991594e-05 1.323467306000000e-02 2.037276300884377e-15 1.000000000000000e+00 1.323467306000000e-02 1.115855918668405e+00
 154 5.764940425000000e+00 0.000000000000000e+00 5.694652650598876e-05 7.546292235660421e-03 -3.060299999990690e-05 1.323467306000000e-02 -4.201832180637279e-16 1.000000000000000e+00 1.323467306000000e-02 1.058151368321560e+00
 155 5.808998330000000e+00 0.000000000000000e+00 6.783505048201496e-05 8.236203645006294e-03 -1.725999999990790e-05 1.323467306000000e-02 4.703502756057449e-17 1.000000000000000e+00 1.323467306000000e-02 1.154891685158243e+00
 156 5.852771114000000e+00 0.000000000000000e+00 1.300343599390566e-04 1.140326093444575e-02 -1.744600000019858e-05 1.323467306000000e-02 -0.000000000000000e+00 1.000000000000000e+00 1.323467306000000e-02 1.598980768872325e+00
 157 5.896260780000000e+00 0.000000000000000e+00 1.945979083029590e-04 1.394983542207431e-02 -2.564300000074127e-05 1.323467306000000e-02 -0.000000000000000e+00 1.000000000000000e+00 1.323467306000000e-02 1.956064909595522e+00
 158 5.939452886000000e+00 0.000000000000000e+00 2.010599763555586e-04 1.417956192396502e-02 -3.846099999993413e-05 1.323467306000000e-02 -0.000000000000000e+00 1.000000000000000e+00 1.323467306000000e-02 1.988277472364649e+00
 159 5.982256902000000e+00 0.000000000000000e+00 1.333331801025634e-04 1.154699874870364e-02 -2.185399999987681e-05 1.323467306000000e-02 -4.841782884125951e-17 1.000000000000000e+00 1.323467306000000e-02 1.619135880824894e+00
 160 6.024783636000000e+00 0.000000000000000e+00 8.831154521349904e-05 9.397422264296686e-03 -1.810400000046286e-05 1.323467306000000e-02 5.846287592637247e-16 1.000000000000000e+00 1.323467306000000e-02 1.317719340455781e+00
 161 6.067035281000000e+00 0.000000000000000e+00 7.058728207131628e-05 8.401623775873106e-03 -2.260299999967685e-05 1.323467306000000e-02 -4.313933975228986e-15 1.000000000000000e+00 1.323467306000000e-02 1.178087121056881e+00
 162 6.109013801000000e+00 1.239087737000000e-16 6.620439653419250e-05 8.136608417159604e-03 -4.143899999942136e-05 1.323467305999988e-02 1.571427003858249e-14 1.000000000000000e+00 1.323467305999988e-02 1.140926306753423e+00
 163 6.150614393000000e+00 -3.717263214000000e-16 6.395986197000679e-05 7.997490979676489e-03 -2.775000000010408e-05 1.323467306000037e-02 -5.301731400675692e-14 1.000000000000000e+00 1.323467306000037e-02 1.121419070320915e+00
 164 6.191929703000000e+00 1.982540380000000e-15 6.517531773832382e-05 8.073123171259300e-03 -2.068999999949028e-05 1.323467305999802e-02 9.082063962304574e-14 1.000000000000000e+00 1.323467305999802e-02 1.132024319165215e+00
 165 6.232976970000000e+00 -4.832442175000000e-15 6.691281979941235e-05 8.180025660070533e-03 -2.403600000011608e-05 1.323467306000483e-02 5.732996531497726e-14 1.000000000000000e+00 1.323467306000483e-02 1.147014331648760e+00
 166 6.273757969000000e+00 4.708533403000000e-15 6.728789074346326e-05 8.202919647507420e-03 -3.890700000042102e-05 1.323467305999529e-02 -9.159328931240702e-13 1.000000000000000e+00 1.323467305999533e-02 1.150224557726671e+00
 167 6.314207500000000e+00 1.759504587000000e-14 6.535899419502139e-05 8.084490966970115e-03 -3.517100000038909e-05 1.323467305998241e-02 3.248716787343415e-12 1.000000000000000e+00 1.323467305998229e-02 1.133618326950812e+00
 168 6.354346707000000e+00 -1.016051945000000e-13 6.343223939386417e-05 7.964435911843612e-03 -2.462200000064030e-05 1.323467306010160e-02 -6.440285142712059e-12 1.000000000000000e+00 1.323467306010176e-02 1.116784043727660e+00
 169 6.394225045000000e+00 2.904421656000000e-13 6.161084315774526e-05 7.849257490855122e-03 -2.620699999944520e-05 1.323467305970956e-02 1.593621139317464e-12 1.000000000000000e+00 1.323467305970952e-02 1.100633568737935e+00
 170 6.433844641000000e+00 -4.091467711000000e-13 6.176055205674356e-05 7.858788205362425e-03 -3.668200000017663e-05 1.323467306040915e-02 4.199603753217784e-11 1.000000000000000e+00 1.323467306040761e-02 1.101969978556222e+00
 171 6.473170420000000e+00 -5.496593203000000e-13 6.064551179831439e-05 7.787522828108717e-03 -4.210699999962486e-05 1.323467306054966e-02 -1.786240465616119e-10 1.000000000000000e+00 1.323467306055718e-02 1.091977050372524e+00
 172 6.512167277000000e+00 4.937764632000000e-12 5.924058886543087e-05 7.696790816010973e-03 -3.134699999929325e-05 1.323467305506223e-02 4.173184097582171e-10 1.000000000000000e+00 1.323467305504915e-02 1.079254483693793e+00
 173 6.550911412000000e+00 -1.630627071000000e-11 5.771967649220705e-05 7.597346674478337e-03 -3.001799999946542e-05 1.323467305630627e-02 -3.545425851621443e-10 1.000000000000000e+00 1.323467305631691e-02 1.065310290924843e+00
 174 6.589403891000000e+00 2.957603302000000e-11 5.376636663490829e-05 7.332555259587771e-03 -3.580399999947304e-05 1.323467306042397e-02 -1.729996595510235e-09 1.000000000000000e+00 1.323467306048591e-02 1.028180878663266e+00
 175 6.627638509000000e+00 6.132864757000000e-12 5.055723128584076e-05 7.110360840761934e-03 -5.360399999965182e-05 1.323467305386714e-02 9.449967632765534e-09 1.000000000000000e+00 1.323467305336058e-02 9.970244742952692e-01
 176 6.665525080000000e+00 -2.274724703000000e-10 4.829503906228661e-05 6.949463221162236e-03 -3.672800000042997e-05 1.323467305747247e-02 -2.561885424520089e-08 9.999999999999997e-01 1.323467305841339e-02 9.744631914653188e-01
 177 6.703165120000000e+00 8.813036312000000e-10 4.554828296819013e-05 6.748946804368081e-03 -3.421800000058539e-05 1.323467305869637e-02 3.369238246899620e-08 9.999999999999994e-01 1.323467305754348e-02 9.463465065265898e-01
 178 6.740560417000000e+00 -1.928989486000000e-09 4.407566856865794e-05 6.638950863552007e-03 -4.086800000013824e-05 1.323467306898948e-02 5.812771140761485e-08 9.999999999999983e-01 1.323467306661390e-02 9.309227266339812e-01
 179 6.777712946000000e+00 1.002937688000000e-09 4.180489188750650e-05 6.465670258179464e-03 -5.718199999993345e-05 1.323467305706231e-02 -4.791423486608558e-07 9.999999999998852e-01 1.323467308445911e-02 9.066250855118101e-01
 180 6.814542261000000e+00 9.725557770000001e-09 3.911267903640852e-05 6.254013034556973e-03 -4.638899999953594e-05 1.323467301444223e-02 1.505317305014536e-06 9.999999999988669e-01 1.323467294459707e-02 8.769462122127328e-01
 181 6.851109433000000e+00 -4.591998489000000e-08 3.686281182516397e-05 6.071475259371809e-03 -4.131100000037691e-05 1.323467325998489e-02 -2.573553657842966e-06 9.999999999966884e-01 1.323467336625714e-02 8.513505442768851e-01
 182 6.887440505000000e+00 1.176104640000000e-07 3.243290213423707e-05 5.694989212828860e-03 -4.565299999992334e-05 1.323467254953600e-02 -9.714118216063734e-07 9.999999999995282e-01 1.323467259387762e-02 7.985591105807335e-01
 183 6.923537656000000e+00 -1.253775373000000e-07 2.716453848828341e-05 5.211961098116851e-03 -5.946399999956498e-05 1.323467360753730e-02 2.305699839765570e-05 9.999999997341874e-01 1.323467223295800e-02 7.308282333556241e-01
 184 6.959344239000000e+00 -3.663721694000000e-07 2.218072167530828e-05 4.709641353150819e-03 -6.304999999962035e-05 1.323467465216940e-02 -8.645213462483437e-05 9.999999962630143e-01 1.323468005351870e-02 6.603926696608039e-01
 185 6.994869819000000e+00 2.302794268000000e-06 1.342746074146947e-05 3.664349975298411e-03 -6.720000000015602e-05 1.323466301573200e-02 -3.453377214234276e-05 9.999999994037093e-01 1.323466532850978e-02 5.138198408099921e-01
 186 7.030165188000000e+00 -6.816890835000000e-06 2.862351926665200e-06 1.691848671325305e-03 -1.153750000000286e-04 1.323470278083500e-02 7.410024596386313e-04 9.999997254576397e-01 1.323461365418968e-02 2.372322585616205e-01
 187 7.065235768000000e+00 1.324463408000000e-05 6.827081150783237e-06 2.612868376092304e-03 -2.757749999995340e-04 1.323461531592000e-02 -3.288571848524067e-03 9.999945926329789e-01 1.323545065739913e-02 3.664014864877816e-01
 188 7.100049616000000e+00 4.840800700000000e-04 1.509483266831848e-05 3.885206901610065e-03 -5.905539999995213e-04 1.323256263000000e-02 -3.045823602278316e-02 9.995360402998885e-01 1.324441048732666e-02 5.451898289758882e-01
 189 7.134579231000000e+00 2.303133971000000e-03 1.819768616296037e-05 4.265874607036682e-03 -1.028585000000248e-03 1.322463217900000e-02 -7.345096059988639e-02 9.972988300338840e-01 1.326446075605381e-02 5.995130563104395e-01
 190 7.168886694000000e+00 5.512782051000000e-03 1.783622332491363e-05 4.223295315853916e-03 -1.530175000000078e-03 1.321063920900000e-02 -1.123867376010619e-01 9.936645415890565e-01 1.329891512991812e-02 5.950707810958221e-01
 191 7.202955085000000e+00 1.001765985000000e-02 1.397877731137007e-05 3.738820310120569e-03 -2.034875000000547e-03 1.319099948000000e-02 -1.500892674967850e-01 9.886724491874337e-01 1.334699066131937e-02 5.287116874946048e-01
 192 7.236772326000000e+00 1.581377973000000e-02 6.119566645357070e-06 2.473775787204061e-03 -2.536502999999968e-03 1.316573038000000e-02 -1.873963718112926e-01 9.822843782896905e-01 1.340782274033644e-02 3.514144011579130e-01
 193 7.270345220000000e+00 2.286038611000000e-02 5.221119294734865e-06 2.284976869627976e-03 -3.027491000000104e-03 1.313500957000000e-02 -2.232357376442255e-01 9.747644871652017e-01 1.347938505400735e-02 3.263268800759617e-01
 194 7.303685351000000e+00 3.112772254000000e-02 1.991754182521339e-05 4.462907328772735e-03 -3.513335000000062e-03 1.309896680000000e-02 -2.578835390256989e-01 9.661760089650232e-01 1.356193872797221e-02 6.412695344804930e-01
 195 7.336780189000000e+00 4.058196669000000e-02 3.801348230012257e-05 6.165507464931218e-03 -3.987862999999869e-03 1.305774955000000e-02 -2.912036319773935e-01 9.566610918832095e-01 1.365312113146872e-02 8.918703626089353e-01
 196 7.369620626000000e+00 5.118758190000000e-02 6.026961026643367e-05 7.763350453665844e-03 -4.441793999999888e-03 1.301151267000000e-02 -3.231466722797467e-01 9.463488934819578e-01 1.374878156783309e-02 1.130874378944980e+00
 197 7.402250457000000e+00 6.292800965000001e-02 8.718237395638068e-05 9.337150205302508e-03 -4.897127000000445e-03 1.296032841000000e-02 -3.536923241261598e-01 9.353618229617005e-01 1.385467263793104e-02 1.370602674538634e+00
 198 7.434654602000000e+00 7.576961610000001e-02 1.183246123324266e-04 1.087771172317168e-02 -5.347609000000197e-03 1.290434338999999e-02 -3.828551600382024e-01 9.238083818802049e-01 1.396850028585921e-02 1.609860658138375e+00
 199 7.466811812000000e+00 8.967386866000000e-02 1.524954929895961e-04 1.234890655036291e-02 -5.779220000000862e-03 1.284372554000000e-02 -4.105981983446608e-01 9.118163847596285e-01 1.408405670856550e-02 1.842711008026604e+00
 200 7.498717300000000e+00 1.046076511000000e-01 1.884814796702041e-04 1.372885573054812e-02 -6.185684000000080e-03 1.277861940000000e-02 -4.369616603451795e-01 8.994801317363179e-01 1.419702101233091e-02 2.065059300521215e+00
 201 7.530409910000000e+00 1.205610196000000e-01 2.253545864632361e-04 1.501181489571584e-02 -6.588151999999958e-03 1.270906810000001e-02 -4.620172653234081e-01 8.868709300360901e-01 1.431514301631394e-02 2.276826056580171e+00
 202 7.561904484000000e+00 1.375165268000000e-01 2.623677437362963e-04 1.619776971488039e-02 -6.989397999999980e-03 1.263514789999998e-02 -4.857829174680389e-01 8.740794912914045e-01 1.443945380060890e-02 2.478032208454370e+00
 203 7.593148108000000e+00 1.554103047000000e-01 2.988964290365039e-04 1.728862137466443e-02 -7.352508000000313e-03 1.255713710000000e-02 -5.077362393210545e-01 8.615125717481510e-01 1.455126623831325e-02 2.665398268008454e+00
 204 7.624146225000000e+00 1.741650761000000e-01 3.341294987138798e-04 1.827920946632758e-02 -7.671418999999347e-03 1.247537280000000e-02 -5.270360386786387e-01 8.498429348614533e-01 1.464522171464644e-02 2.836314083892999e+00
 205 7.654928420000000e+00 1.936869676000000e-01 3.677881725805760e-04 1.917780416472585e-02 -7.950375000000065e-03 1.239026399999998e-02 -5.436876891520873e-01 8.392876126003906e-01 1.472151610369112e-02 2.991247708386906e+00
 206 7.685521602000000e+00 2.138906241000000e-01 4.006064337885424e-04 2.001515510278505e-02 -8.206767999999975e-03 1.230218289999999e-02 -5.580820896995009e-01 8.297857441271440e-01 1.478822622718370e-02 3.135999658092687e+00
 207 7.715875441000000e+00 2.346447917000000e-01 4.338074761238471e-04 2.082804542255099e-02 -8.407968999999405e-03 1.221170180000000e-02 -5.703941063824562e-01 8.213711483879618e-01 1.482619549548340e-02 3.271743132803502e+00
 208 7.746006197000000e+00 2.558608565000000e-01 4.672586088874809e-04 2.161616545290771e-02 -8.567110999999628e-03 1.211920699999997e-02 -5.807410503023914e-01 8.140883444035267e-01 1.484137820231056e-02 3.399021011331573e+00
 209 7.775930272000000e+00 2.774557735000000e-01 5.002314701423706e-04 2.236585500584251e-02 -8.694829000000404e-03 1.202506069999998e-02 -5.893741164725408e-01 8.078602297626812e-01 1.483907545976723e-02 3.516359824580674e+00
 210 7.805638757000000e+00 2.993367944000000e-01 5.327252890499054e-04 2.308084246837419e-02 -8.786870999999863e-03 1.192966680000002e-02 -5.964147395352277e-01 8.026764344772596e-01 1.481628179032032e-02 3.623196157946051e+00
 211 7.835128036000000e+00 3.214133097000000e-01 5.656909640654404e-04 2.378425874534332e-02 -8.837603999999999e-03 1.183342079999999e-02 -6.019479669402559e-01 7.985353123666433e-01 1.476918213531700e-02 3.721748553006090e+00
 212 7.864411321000000e+00 3.436138399000000e-01 5.991652921526815e-04 2.447785309525085e-02 -8.859246000000098e-03 1.173663400000002e-02 -6.061062136861411e-01 7.953837172906232e-01 1.470477162857368e-02 3.813577434869838e+00
 213 7.893502103000000e+00 3.658691510000000e-01 6.332929020097308e-04 2.516531148246989e-02 -8.867103000000043e-03 1.163960860000002e-02 -6.088912175651241e-01 7.932537331598640e-01 1.463226411641506e-02 3.901349004922616e+00
 214 7.922364928000000e+00 3.880733457000000e-01 6.693303780638699e-04 2.587142010141442e-02 -8.835003000000619e-03 1.154280599999996e-02 -6.103973272787432e-01 7.920953874698217e-01 1.453586560875901e-02 3.984392631011697e+00
 215 7.951012057000000e+00 4.101753260000000e-01 7.066957774427052e-04 2.658375025166135e-02 -8.781299999999881e-03 1.144644859999999e-02 -6.113135966220469e-01 7.913884549227498e-01 1.442671535792377e-02 4.063354118094506e+00
 216 7.979474672000000e+00 4.321912682000000e-01 7.445345644355864e-04 2.728616067598346e-02 -8.738422000000412e-03 1.135046650000004e-02 -6.124112522990021e-01 7.905393463057788e-01 1.432449832731308e-02 4.141167664581554e+00
 217 8.007749593000000e+00 4.541355476000000e-01 7.832633577494101e-04 2.798684258271036e-02 -8.709196999999946e-03 1.125479720000000e-02 -6.138784303520917e-01 7.894005781277665e-01 1.423093160037788e-02 4.219764336341473e+00
 218 8.035810943000000e+00 4.760093398000000e-01 8.241792959785854e-04 2.870852305463632e-02 -8.679456999999502e-03 1.115943480000003e-02 -6.157832905474268e-01 7.879155659603277e-01 1.413735697786399e-02 4.300114657351048e+00
 219 8.063649501000000e+00 4.978301146000000e-01 8.669199005672216e-04 2.944350353757551e-02 -8.644185999999721e-03 1.106430370000006e-02 -6.180670329539192e-01 7.861253988871869e-01 1.404061655289316e-02 4.380025372619696e+00
 220 8.091303784000001e+00 5.196437918000000e-01 9.111799969895645e-04 3.018575818145975e-02 -8.626965000001263e-03 1.096920379999999e-02 -6.206192333507593e-01 7.841120884128212e-01 1.395514570428847e-02 4.463108295068815e+00
 221 8.118771598000000e+00 5.414646066000000e-01 9.570418976286934e-04 3.093609376810029e-02 -8.621688999999932e-03 1.087407200000001e-02 -6.234897704857363e-01 7.818315074871592e-01 1.387722700009327e-02 4.548509738612064e+00
